"NO","35033","ПОМОРИЕ","КАБЛЕШКОВО","8210","БУРГАС","гр."
"NO","35064","КАВАРНА","КАВАРНА","9650","ДОБРИЧ","гр."
"FULL","35167","КАЗАНЛЪК","КАЗАНЛЪК","6100","СТАРА ЗАГОРА","гр."
"NO","35496","КАРЛОВО","КАЛОФЕР","4370","ПЛОВДИВ","гр."
"NO","35883","КАМЕНО","КАМЕНО","8120","БУРГАС","гр."
"NO","36079","КАОЛИНОВО","КАОЛИНОВО","9960","ШУМЕН","гр."
"FULL","36498","КАРЛОВО","КАРЛОВО","4300","ПЛОВДИВ","гр."
"NO","36525","КАРНОБАТ","КАРНОБАТ","8400","БУРГАС","гр."
"NO","36587","КАСПИЧАН","КАСПИЧАН","9930","ШУМЕН","гр."
"NO","36779","СЛИВЕН","КЕРМЕН","8870","СЛИВЕН","гр."
"NO","36837","ВЕЛИКО ТЪРНОВО","КИЛИФАРЕВО","5050","ВЕЛИКО ТЪРНОВО","гр."
"NO","37023","ПРИМОРСКО","КИТЕН","8183","БУРГАС","гр."
"NO","37277","КАРЛОВО","КЛИСУРА","4341","ПЛОВДИВ","гр."
"NO","37376","КНЕЖА","КНЕЖА","5835","ПЛЕВЕН","гр."
"PARTIAL","37798","КОЗЛОДУЙ","КОЗЛОДУЙ","3320","ВРАЦА","гр."
"NO","37863","ЧЕРВЕН БРЯГ","КОЙНАРЕ","5986","ПЛЕВЕН","гр."
"NO","38558","КОПРИВЩИЦА","КОПРИВЩИЦА","2077","СОФИЯ","гр."
"NO","38844","РАКИТОВО","КОСТАНДОВО","4644","ПАЗАРДЖИК","гр."
"NO","38902","КОСТЕНЕЦ","КОСТЕНЕЦ","2030","СОФИЯ","гр."
"NO","38978","КОСТИНБРОД","КОСТИНБРОД","2230","СОФИЯ","гр."
"NO","39030","КОТЕЛ","КОТЕЛ","8970","СЛИВЕН","гр."
"NO","39116","КОЧЕРИНОВО","КОЧЕРИНОВО","2640","КЮСТЕНДИЛ","гр."
"NO","14492","КРЕСНА","КРЕСНА","2840","БЛАГОЕВГРАД","гр."
"NO","39846","КРИВОДОЛ","КРИВОДОЛ","3060","ВРАЦА","гр."
"NO","39921","КРИЧИМ","КРИЧИМ","4220","ПЛОВДИВ","гр."
"NO","39970","КРУМОВГРАД","КРУМОВГРАД","6900","КЪРДЖАЛИ","гр."
"NO","40422","КУБРАТ","КУБРАТ","7300","РАЗГРАД","гр."
"NO","40467","КУКЛЕН","КУКЛЕН","4101","ПЛОВДИВ","гр."
"NO","40525","КУЛА","КУЛА","3800","ВИДИН","гр."
"FULL","40909","КЪРДЖАЛИ","КЪРДЖАЛИ","6600","КЪРДЖАЛИ","гр."
"PARTIAL","41112","КЮСТЕНДИЛ","КЮСТЕНДИЛ","2500","КЮСТЕНДИЛ","гр."
"NO","43236","ЛЕВСКИ","ЛЕВСКИ","5900","ПЛЕВЕН","гр."
"NO","43476","ЛЕТНИЦА","ЛЕТНИЦА","5570","ЛОВЕЧ","гр."
"FULL","43952","ЛОВЕЧ","ЛОВЕЧ","5500","ЛОВЕЧ","гр."
"NO","44166","ЛОЗНИЦА","ЛОЗНИЦА","7290","РАЗГРАД","гр."
"PARTIAL","44238","ЛОМ","ЛОМ","3600","МОНТАНА","гр."
"NO","44327","ЛУКОВИТ","ЛУКОВИТ","5770","ЛОВЕЧ","гр."
"NO","44478","ЛЪКИ","ЛЪКИ","4241","ПЛОВДИВ","гр."
"NO","44570","ЛЮБИМЕЦ","ЛЮБИМЕЦ","6550","ХАСКОВО","гр."
"NO","44793","ЛЯСКОВЕЦ","ЛЯСКОВЕЦ","5140","ВЕЛИКО ТЪРНОВО","гр."
"NO","46045","МАДАН","МАДАН","4900","СМОЛЯН","гр."
"NO","46084","МАДЖАРОВО","МАДЖАРОВО","6480","ХАСКОВО","гр."
"NO","46663","МАЛКО ТЪРНОВО","МАЛКО ТЪРНОВО","8162","БУРГАС","гр."
"NO","47336","РУСЕ","МАРТЕН","7058","РУСЕ","гр."
"NO","47714","МЕЗДРА","МЕЗДРА","3100","ВРАЦА","гр."
"NO","47754","САНДАНСКИ","МЕЛНИК","2820","БЛАГОЕВГРАД","гр."
"NO","47843","ДИМИТРОВГРАД","МЕРИЧЛЕРИ","6430","ХАСКОВО","гр."
"NO","48043","МИЗИЯ","МИЗИЯ","3330","ВРАЦА","гр."
"NO","50245","КОСТЕНЕЦ","МОМИН ПРОХОД","2035","СОФИЯ","гр."
"NO","48996","МОМЧИЛГРАД","МОМЧИЛГРАД","6800","КЪРДЖАЛИ","гр."
"PARTIAL","48489","МОНТАНА","МОНТАНА","3400","МОНТАНА","гр."
"NO","49494","МЪГЛИЖ","МЪГЛИЖ","6180","СТАРА ЗАГОРА","гр."
"NO","51319","НЕДЕЛИНО","НЕДЕЛИНО","4990","СМОЛЯН","гр."
"PARTIAL","51500","НЕСЕБЪР","НЕСЕБЪР","8230","БУРГАС","гр."
"NO","51648","НИКОЛАЕВО","НИКОЛАЕВО","6190","СТАРА ЗАГОРА","гр."
"NO","51723","НИКОПОЛ","НИКОПОЛ","5940","ПЛЕВЕН","гр."
"NO","51809","НОВА ЗАГОРА","НОВА ЗАГОРА","8900","СЛИВЕН","гр."
"NO","357","СТОЛИЧНА","НОВИ ИСКЪР","1280","СОФИЯ - ГРАД","гр."
"NO","52009","НОВИ ПАЗАР","НОВИ ПАЗАР","9900","ШУМЕН","гр."
"NO","53045","НЕСЕБЪР","ОБЗОР","8250","БУРГАС","гр."
"NO","53535","ОМУРТАГ","ОМУРТАГ","7900","ТЪРГОВИЩЕ","гр."
"NO","53552","ОПАКА","ОПАКА","7840","ТЪРГОВИЩЕ","гр."
"NO","54020","ОРЯХОВО","ОРЯХОВО","3300","ВРАЦА","гр."
"NO","55021","ПАВЕЛ БАНЯ","ПАВЕЛ БАНЯ","6155","СТАРА ЗАГОРА","гр."
"NO","55052","ПАВЛИКЕНИ","ПАВЛИКЕНИ","5200","ВЕЛИКО ТЪРНОВО","гр."
"FULL","55155","ПАЗАРДЖИК","ПАЗАРДЖИК","4400","ПАЗАРДЖИК","гр."
"NO","55302","ПАНАГЮРИЩЕ","ПАНАГЮРИЩЕ","4500","ПАЗАРДЖИК","гр."
"FULL","55871","ПЕРНИК","ПЕРНИК","2300","ПЕРНИК","гр."
